longitude,latitude,start_date,end_date,label
-66.73593086000886,-9.852927896395814,2010-01-01,2010-11-01,vegetacao_secundaria
-66.73151058768238,-9.908433976318527,2010-01-01,2010-11-01,vegetacao_secundaria
-66.73150803496326,-9.903631621705538,2010-01-01,2010-11-01,vegetacao_secundaria
-66.20177000001205,-9.64532000029544,2010-01-01,2010-11-01,vegetacao_secundaria
-66.01320999978864,-9.7330799998206885,2010-01-01,2010-11-01,vegetacao_secundaria
-65.78483999977486,-9.466670000302521,2010-01-01,2010-11-01,vegetacao_secundaria
-65.36335999969144,-10.37207000042977,2010-01-01,2010-11-01,vegetacao_secundaria
-65.3548799996772,-10.361540000020002,2010-01-01,2010-11-01,vegetacao_secundaria
-65.33268999991218,-10.565180000061163,2010-01-01,2010-11-01,vegetacao_secundaria
-65.32920999968287,-10.564209999644532,2010-01-01,2010-11-01,vegetacao_secundaria
-65.32535000020889,-10.647310000404921,2010-01-01,2010-11-01,vegetacao_secundaria
-65.25436999981702,-10.636430000044001,2010-01-01,2010-11-01,vegetacao_secundaria
-65.0258699998446,-10.420829999612431,2010-01-01,2010-11-01,vegetacao_secundaria
-64.73109971595797,-10.464897305355654,2010-01-01,2010-11-01,vegetacao_secundaria
-64.63860589056472,-9.721790672726515,2010-01-01,2010-11-01,vegetacao_secundaria
-64.06984000004314,-9.203540000107347,2010-01-01,2010-11-01,vegetacao_secundaria
-64.04000999978504,-9.00090000012407,2010-01-01,2010-11-01,vegetacao_secundaria
-63.96039983147166,-8.423680658880127,2010-01-01,2010-11-01,vegetacao_secundaria
-63.947262002999295,-8.34693442171369,2010-01-01,2010-11-01,vegetacao_secundaria
-63.93189611470142,-9.873577000993576,2010-01-01,2010-11-01,vegetacao_secundaria
-63.859959999868835,-8.857690000172136,2010-01-01,2010-11-01,vegetacao_secundaria
-63.794689999620914,-12.09814000006721,2010-01-01,2010-11-01,vegetacao_secundaria
-63.75097000007816,-12.05978000015325,2010-01-01,2010-11-01,vegetacao_secundaria
-63.700330000260436,-8.307659999831897,2010-01-01,2010-11-01,vegetacao_secundaria
-63.66489999967319,-8.877750000127417,2010-01-01,2010-11-01,vegetacao_secundaria
-63.460329999584296,-9.748499999887722,2010-01-01,2010-11-01,vegetacao_secundaria
-63.44980000034464,-8.767840000272356,2010-01-01,2010-11-01,vegetacao_secundaria
-63.44731999957415,-8.770430000075642,2010-01-01,2010-11-01,vegetacao_secundaria
-63.3608300003277,-12.099650000324516,2010-01-01,2010-11-01,vegetacao_secundaria
-63.357610000407675,-12.086770000115749,2010-01-01,2010-11-01,vegetacao_secundaria
-63.290809999715634,-7.662390000180805,2010-01-01,2010-11-01,vegetacao_secundaria
-63.087630000377175,-12.138330000038032,2010-01-01,2010-11-01,vegetacao_secundaria
-63.08757999985622,-12.140779999766291,2010-01-01,2010-11-01,vegetacao_secundaria
-63.07543999968431,-9.409290000039796,2010-01-01,2010-11-01,vegetacao_secundaria
-63.05023999981334,-9.17523000041104,2010-01-01,2010-11-01,vegetacao_secundaria
-62.89726999998583,-10.752900000220626,2010-01-01,2010-11-01,vegetacao_secundaria
-62.84867999992231,-9.856049999702856,2010-01-01,2010-11-01,vegetacao_secundaria
-62.8330799995771,-6.963049999667266,2010-01-01,2010-11-01,vegetacao_secundaria
-62.76541254573944,-9.790018297208935,2010-01-01,2010-11-01,vegetacao_secundaria
-62.725629999619045,-9.179110000202506,2010-01-01,2010-11-01,vegetacao_secundaria
-62.55687000033658,-8.557960000256632,2010-01-01,2010-11-01,vegetacao_secundaria
-62.498670000313005,-9.723419999718436,2010-01-01,2010-11-01,vegetacao_secundaria
-62.357839999878564,-11.23897000018624,2010-01-01,2010-11-01,vegetacao_secundaria
-62.342065623699334,-11.327805340716743,2010-01-01,2010-11-01,vegetacao_secundaria
-62.207624711939374,-11.20339822102203,2010-01-01,2010-11-01,vegetacao_secundaria
-62.177890000116804,-9.910459999600628,2010-01-01,2010-11-01,vegetacao_secundaria
-62.15555999977785,-11.46547000013965,2010-01-01,2010-11-01,vegetacao_secundaria
-62.076000000322026,-8.932900000278108,2010-01-01,2010-11-01,vegetacao_secundaria
-62.06938000009284,-11.515199999826777,2010-01-01,2010-11-01,vegetacao_secundaria
-62.02172380125371,-11.745692516219098,2010-01-01,2010-11-01,vegetacao_secundaria
-61.96745999992516,-9.66100999995085,2010-01-01,2010-11-01,vegetacao_secundaria
-61.94415999992148,-11.450530000174941,2010-01-01,2010-11-01,vegetacao_secundaria
-61.84624293535932,-10.853017199063059,2010-01-01,2010-11-01,vegetacao_secundaria
-61.841743399969666,-10.932815307640103,2010-01-01,2010-11-01,vegetacao_secundaria
-61.78595000009553,-9.73447999977417,2010-01-01,2010-11-01,vegetacao_secundaria
-61.7735500001249,-11.191470000177494,2010-01-01,2010-11-01,vegetacao_secundaria
-61.70358615154275,-10.95222502660447,2010-01-01,2010-11-01,vegetacao_secundaria
-61.69251638961906,-10.780810452559884,2010-01-01,2010-11-01,vegetacao_secundaria
-61.689639999853405,-12.614149999911684,2010-01-01,2010-11-01,vegetacao_secundaria
-61.630130000228114,-10.835909999878211,2010-01-01,2010-11-01,vegetacao_secundaria
-61.5815499998877,-12.010249999630487,2010-01-01,2010-11-01,vegetacao_secundaria
-61.527175195369864,-10.967964969563669,2010-01-01,2010-11-01,vegetacao_secundaria
-61.5182101827927,-10.87733415010841,2010-01-01,2010-11-01,vegetacao_secundaria
-61.509599999759025,-11.099270000304704,2010-01-01,2010-11-01,vegetacao_secundaria
